paired methods,original p,adjusted p (Holm-Bonferroni),Cliff's delta,effect size (delta),Wilcoxon r, effect size (r)
FPDT-TCP vs NOP,7.768297116683698E-10,5.4378079816785885E-9,-0.8245614035087719,large,-0.8140070499846561,large
FPDT-TCP vs TMP,0.1663950877314604,0.3327901754629208,-0.4782608695652174,large,-0.2853880268437068,small
FPDT-TCP vs TCM,0.022106788438879255,0.11053394219439627,-0.42857142857142855,medium,-0.4303394522348414,medium
FPDT-TCP vs GAP,1.3768985951401191E-12,1.2392087356261072E-11,-0.9178082191780822,large,-0.8290727794244731,large
FPDT-TCP vs ARP,1.6786572132332367E-12,1.3429257705865894E-11,-0.9452054794520548,large,-0.8258555781073429,large
FPDT-TCP vs FPP,0.02036543767126786,0.11053394219439627,0.5121951219512195,large,-0.36124038228204025,medium
FPDT-TCP vs TCM-QS,0.06261191131164345,0.18783573393493036,-0.4074074074074074,medium,-0.35601821750216045,medium
FPDT-TCP vs MTK,0.04380586348253779,0.17522345393015115,-0.42857142857142855,medium,-0.4361226101301312,medium
FPDT-TCP vs MTK-QS,0.7794813238029827,0.7794813238029827,0.1,negligible,-0.05843487097907774,negligible
