paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
FPDT-TCP vs. NOP,2.3970825324681755E-11,-0.8082191780821918,large,-0.7814581999309449,large
FPDT-TCP vs. TMP,3.952838056875407E-12,-0.7777777777777778,large,-0.817421702456755,large
FPDT-TCP vs. TCM,1.1421752432738685E-11,-0.8333333333333334,large,-0.7995654031312435,large
FPDT-TCP vs. GAP,1.1102230246251565E-13,-1.0,large,-0.8689660757568887,large
FPDT-TCP vs. ARP,1.1102230246251565E-13,-1.0,large,-0.8689660757568887,large
FPDT-TCP vs. FPP,1.0628499382803192E-4,-0.3972602739726027,medium,-0.4533036655836564,medium
FPDT-TCP vs. TCM-QS,4.2454928461665986E-13,-0.8611111111111112,large,-0.8537956455272417,large
FPDT-TCP vs. MTK,1.2284395722872432E-11,-0.8857142857142857,large,-0.805517502906414,large
FPDT-TCP vs. MTK-QS,0.014436594995194119,-0.3142857142857143,small,-0.29104274256689366,small
