fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
TTL_1_2,0.80387443,0.078995414,0.07169117,0.207309305,0.18927371,0,0.090560603,0.37076414,0.015149797,0.015285072,0.016908264,0.016908264,0.016502468,0.015285072,0.014879273
TTL_1_5,0.708423,0.18820871,0.17363605,0.192578565,0.176275885,0,0.105446261,0.30286726,0.021927886,0.014160342,0.015535131,0.014847737,0.01436656,0.014160342,0.014297819
TTL_1_6,0.844458175,0.54064703,0.4858146,0.23140371,0.23459533,0,0.160934965,0.612264325,0.066794005,0.050567637,0.05301558,0.052106341,0.051476872,0.050567637,0.048819112
TTL_1_7,0.82206184,0.54157895,0.48643795,0.238407315,0.2513351,0,0.2015098,0.534406,0.060347446,0.030806729,0.036574193,0.036433525,0.036152188,0.030806729,0.029259357
TTL_1_8,0.64932954,0.54340756,0.47574696,0.22809875,0.242738025,0,0.189974735,0.62851038,0.07736845,0.052680871,0.055353597,0.05486125,0.054368906,0.052680871,0.051766521
TTL_2_5,0.5603645,0.10706153,0.525057,0.52384216,0.5774488,0.107061535,0.29555816,0.103644684,0.10136678,0.10136677,0.10136677,0.10136677,0.10136677,0.10136677,0.10136677
TTL_2_6,0.2831051,0.12328771,0.03481736,0.3910579,0.291305245,0.312214675,0.130137015,0.31278548,0.10616441,0.12442925,0.12442925,0.12442925,0.12442925,0.12442925,0.12442925
TTL_2_7,0.28146458,0.12242567,0.021739136,0.30692226,0.36456909,0.106407344,0.130434805,0.353547,0.10926776,0.12471398,0.12471399,0.12471399,0.12471398,0.12471398,0.12471398
TTL_2_8,0.28146458,0.114988595,0.02059497,0.27604885,0.301544695,0.21052638,0.112128163,0.353547,0.10583527,0.12471399,0.12471399,0.12471399,0.12471399,0.12471399,0.12471399
TTL_5_6,0.9797314,0.5676679,0.5532067,0.37591147,0.34541342,0.54847118,0.42972766,0.30258027,0.018586638,0.020368824,0.020572513,0.020572513,0.020572512,0.020368824,0.02026698
TTL_5_7,0.9795774,0.67274356,0.59352684,0.39576644,0.36574109,0.55381644,0.47111111,0.31862889,0.032581199,0.030477492,0.030015706,0.030015706,0.029861782,0.030477492,0.030272251
TTL_5_8,0.8651059,0.5687199,0.54733723,0.38930246,0.357109215,0.4120495,0.409736485,0.51578098,0.043333357,0.032898543,0.034029419,0.034029419,0.033618193,0.032898543,0.032590117
TTL_6_7,0.6411702,0.070908,0.07061723,0.15501913,0.13536051,0.071490034,0.109272598,0.16461384,0.00426811,0.001940064,0.001746058,0.001746058,0.001843061,0.001940064,0.001940064
TTL_6_8,0.8582004,0.050452378,0.06428766,0.24593094,0.22325045,0.0694889,0.107406615,0.193281305,0.009622423,0.004577166,0.004369113,0.004369113,0.00416106,0.004577166,0.004785219
TTL_7_8,0.65625024,0,0,0.24302092,0.23291679,0.007812503,0.039062517,0,0,0,0,0,0,0,0
median,0.708423,0.12328771,0.17363605,0.24593094,0.2513351,0.071490034,0.130434805,0.31862889,0.043333357,0.030806729,0.034029419,0.034029419,0.033618193,0.030806729,0.030272251
