fileName,FPDT-TCP(CoCo),FPDT-TCP(CoCo+1)
PTF_1_2,0.004115226,0.004115226
PTF_1_3,0.0054644807,0.0054644807
PTF_1_4,0.0054644807,0.0054644807
PTF_1_5,0.0056497175,0.0056497175
PTF_1_6,0.0058139535,0.0058139535
PTF_1_7,0.0058139535,0.0058139535
PTF_1_8,0.0058139535,0.0058139535
PTF_1_9,0.011627907,0.011627907
PTF_2_3,0.014084507,0.014084507
PTF_2_4,0.018779343,0.018779343
PTF_2_5,0.004830918,0.004830918
PTF_2_6,0.004950495,0.004950495
PTF_2_7,0.004950495,0.004950495
PTF_2_8,0.004950495,0.004950495
PTF_2_9,0.01980198,0.01980198
PTF_3_4,0.0056657223,0.0056657223
PTF_3_5,0.0028818443,0.0028818443
PTF_3_6,0.00295858,0.00295858
PTF_3_7,0.00295858,0.00295858
PTF_3_8,0.00295858,0.00295858
PTF_3_9,0.023809524,0.023809524
PTF_4_5,0.002570694,0.002570694
PTF_4_6,0.002631579,0.002631579
PTF_4_7,0.002631579,0.002631579
PTF_4_8,0.002631579,0.002631579
PTF_4_9,0.02910053,0.02910053
PTF_5_6,0.0022624435,0.0022624435
PTF_5_7,0.0022779044,0.0022779044
PTF_5_8,0.0022779044,0.0022779044
PTF_5_9,0.0022883294,0.0022883294
PTF_6_7,0.0018214936,0.0018214936
PTF_6_8,0.0018214936,0.0018214936
PTF_6_9,0.005484461,0.005484461
PTF_7_8,0.0017211704,0.0017211704
PTF_7_9,0.005181347,0.005181347
PTF_8_9,0.019639935,0.019639935
